Başlangıç Sıcaklığı (Kelvin)  Bitiş Sıcaklığı (Kelvin)      Gerekli Enerji Miktarı (Joule)
681                           682                           4.292882e+05                  
682                           683                           4.293809e+05                  
683                           684                           4.294736e+05                  
684                           685                           4.295663e+05                  
685                           686                           4.296589e+05                  
686                           687                           4.297516e+05                  
687                           688                           4.298442e+05                  
688                           689                           4.299368e+05                  
689                           690                           4.300294e+05                  
690                           691                           4.301220e+05                  
691                           692                           4.302146e+05                  
692                           693                           4.303072e+05                  
693                           694                           4.303997e+05                  
694                           695                           4.304923e+05                  
695                           696                           4.305848e+05                  
696                           697                           4.306773e+05                  
697                           698                           4.307698e+05                  
698                           699                           4.308623e+05                  
699                           700                           4.309548e+05                  
700                           701                           4.310473e+05                  
701                           702                           4.311398e+05                  
702                           703                           4.312323e+05                  
703                           704                           4.313248e+05                  
704                           705                           4.314172e+05                  
705                           706                           4.315097e+05                  
706                           707                           4.316021e+05                  
707                           708                           4.316945e+05                  
708                           709                           4.317870e+05                  
709                           710                           4.318794e+05                  
710                           711                           4.319718e+05                  
711                           712                           4.320642e+05                  
712                           713                           4.321567e+05                  
713                           714                           4.322491e+05                  
714                           715                           4.323415e+05                  
715                           716                           4.324339e+05                  
716                           717                           4.325263e+05                  
717                           718                           4.326187e+05                  
718                           719                           4.327111e+05                  
719                           720                           4.328034e+05                  
720                           721                           4.328958e+05                  
721                           722                           4.329882e+05                  
722                           723                           4.330806e+05                  
723                           724                           4.331730e+05                  
724                           725                           4.332654e+05                  
725                           726                           4.333578e+05                  
726                           727                           4.334502e+05                  
727                           728                           4.335425e+05                  
728                           729                           4.336349e+05                  
729                           730                           4.337273e+05                  
730                           731                           4.338197e+05                  
731                           732                           4.339121e+05                  
732                           733                           4.340045e+05                  
733                           734                           4.340969e+05                  
734                           735                           4.341893e+05                  
735                           736                           4.342817e+05                  
736                           737                           4.343741e+05                  
737                           738                           4.344665e+05                  
738                           739                           4.345589e+05                  
739                           740                           4.346513e+05                  
740                           741                           4.347438e+05                  
741                           742                           4.348362e+05                  
742                           743                           4.349286e+05                  
743                           744                           4.350211e+05                  
744                           745                           4.351135e+05                  
745                           746                           4.352060e+05                  
746                           747                           4.352984e+05                  
747                           748                           4.353909e+05                  
748                           749                           4.354833e+05                  
749                           750                           4.355758e+05                  
750                           751                           4.356683e+05                  
751                           752                           4.357608e+05                  
752                           753                           4.358533e+05                  
753                           754                           4.359458e+05                  
754                           755                           4.360383e+05                  
755                           756                           4.361309e+05                  
756                           757                           4.362234e+05                  
757                           758                           4.363160e+05                  
758                           759                           4.364085e+05                  
759                           760                           4.365011e+05                  
760                           761                           4.365937e+05                  
761                           762                           4.366863e+05                  
762                           763                           4.367789e+05                  
763                           764                           4.368715e+05                  
764                           765                           4.369641e+05                  
765                           766                           4.370568e+05                  
766                           767                           4.371494e+05                  
767                           768                           4.372421e+05                  
768                           769                           4.373348e+05                  
769                           770                           4.374274e+05                  
770                           771                           4.375202e+05                  
771                           772                           4.376129e+05                  
772                           773                           4.377056e+05                  
773                           774                           4.377984e+05                  
774                           775                           4.378911e+05                  
775                           776                           4.379839e+05                  
776                           777                           4.380767e+05                  
777                           778                           4.381695e+05                  
778                           779                           4.382623e+05                  
779                           780                           4.383552e+05                  
780                           781                           4.384480e+05                  
781                           782                           4.385409e+05                  
782                           783                           4.386338e+05                  
783                           784                           4.387267e+05                  
784                           785                           4.388196e+05                  
785                           786                           4.389126e+05                  
786                           787                           4.390055e+05                  
787                           788                           4.390985e+05                  
788                           789                           4.391915e+05                  
789                           790                           4.392845e+05                  
790                           791                           4.393776e+05                  
791                           792                           4.394706e+05                  
792                           793                           4.395637e+05                  
793                           794                           4.396568e+05                  
794                           795                           4.397499e+05                  
